idx,claim_id,tool_category
0,F0000,genuine
1,F0001,genuine
2,F0002,genuine
3,F0003,genuine
4,F0004,one_tailed
5,F0005,genuine
6,F0006,genuine
7,F0007,genuine
8,F0008,genuine
9,F0009,p_bound
10,F0010,one_tailed
11,F0011,genuine
12,F0012,genuine
13,F0013,genuine
14,F0014,genuine
15,F0015,p_bound
16,F0016,genuine
17,F0017,one_tailed
18,F0018,genuine
19,F0019,genuine
20,F0020,genuine
21,F0021,genuine
22,F0022,genuine
23,F0023,genuine
24,F0024,genuine
25,F0025,genuine
26,F0026,one_tailed
27,F0027,genuine
28,F0028,genuine
29,F0029,genuine
30,F0030,one_tailed
31,F0031,genuine
32,F0032,genuine
33,F0033,genuine
34,F0034,genuine
35,F0035,genuine
36,F0036,genuine
37,F0037,genuine
38,F0038,genuine
39,F0039,genuine
40,F0040,genuine
41,F0041,genuine
42,F0042,genuine
43,F0043,one_tailed
44,F0044,genuine
45,F0045,genuine
46,F0046,genuine
47,F0047,genuine
48,F0048,p_bound
49,F0049,genuine
50,F0050,genuine
51,F0051,one_tailed
52,F0052,genuine
53,F0053,p_bound
54,F0054,genuine
55,F0055,one_tailed
56,F0056,genuine
57,F0057,genuine
58,F0058,genuine
59,F0059,genuine
60,F0060,one_tailed
61,F0061,genuine
62,F0062,p_bound
63,F0063,genuine
64,F0064,genuine
65,F0065,genuine
66,F0066,genuine
67,F0067,genuine
68,F0068,genuine
69,F0069,genuine
70,F0070,genuine
71,F0071,genuine
72,F0072,one_tailed
73,F0073,genuine
74,F0074,genuine
75,F0075,genuine
76,F0076,genuine
77,F0077,one_tailed
78,F0078,one_tailed
79,F0079,genuine
80,F0080,genuine
81,F0081,genuine
82,F0082,p_bound
83,F0083,genuine
84,F0084,genuine
85,F0085,genuine
86,F0086,genuine
87,F0087,genuine
88,F0088,genuine
89,F0089,genuine
90,F0090,p_bound
91,F0091,genuine
92,F0092,genuine
93,F0093,genuine
94,F0094,one_tailed
95,F0095,genuine
96,F0096,genuine
97,F0097,genuine
98,F0098,one_tailed
99,F0099,genuine
100,F0100,genuine
101,F0101,one_tailed
102,F0102,one_tailed
103,F0103,genuine
104,F0104,genuine
105,F0105,one_tailed
106,F0106,genuine
107,F0107,one_tailed
108,F0108,one_tailed
109,F0109,genuine
110,F0110,genuine
111,F0111,genuine
112,F0112,p_bound
113,F0113,p_bound
114,F0114,genuine
115,F0115,genuine
116,F0116,genuine
117,F0117,p_bound
118,F0118,genuine
119,F0119,p_bound
120,F0120,genuine
121,F0121,genuine
122,F0122,one_tailed
123,F0123,genuine
124,F0124,genuine
125,F0125,genuine
126,F0126,genuine
127,F0127,genuine
128,F0128,one_tailed
129,F0129,genuine
130,F0130,genuine
131,F0131,genuine
132,F0132,genuine
133,F0133,genuine
134,F0134,one_tailed
135,F0135,genuine
136,F0136,genuine
137,F0137,genuine
138,F0138,genuine
139,F0139,genuine
140,F0140,genuine
141,F0141,genuine
142,F0142,genuine
143,F0143,genuine
144,F0144,genuine
145,F0145,genuine
146,F0146,genuine
147,F0147,genuine
148,F0148,genuine
149,F0149,genuine
